,商品全名,用户评论时间,用户评论内容
0,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-11-25 18:25:40,没话说，小伙伴双11前在某B 买的，我双11京东下的单，只比他贵几百，但是我比他多了一个京东的售后支撑，至少我心里是放心的，另外第一次体验京尊达&hellip;好像真的是专车，因为送货的小哥是正装白手套，哈哈，让我虚荣心得到了满足，每个电商都有或多或少的毛病，反正我相信京东，确实不行还有京东售后嘛，退呗，换呗，最后一点希望京东不要放弃老客户，不要一门心思的发展plus会员了，我们这些老客户给你的支持不必买你一个会员少吧
1,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-12-07 00:45:30,完全被它的颜值征服了，特意用相机拍了一组照片，对于喜欢摄影的我来说，单反一直是我的小老婆，现在MacBook pro是我的小小老婆了，拍照前期是谱曲后期是演奏，一定要有一个好的后期输出设备，Retina屏简直惊艳到爆。之前看大家都在评论说触控板很好用，没亲自体验之前觉得大家在夸大其词，现在简直爱上这块超大触控板了，单手操作的效率可以媲美触控屏，可以完全抛弃鼠标。第一次开机的时候默认桌面壁纸和店铺首页图片还有大家晒单的照片壁纸不一样，检查了序列号是没问题的，电池循环次数1，我猜应该是后来新生产的机器都是这个壁纸吧，不知道大家有没有和我一样的。最后，花了很多钱买了一个电子产品，贵肯定是有贵的道理，能用它创造出价值来就是值得的。
2,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-12-16 17:09:42,东西非常不错，很喜欢，加上之前在京东买的鼠标耳机，棒棒哒，12.13立即下手免息购买，非常棒，虽然中间有些小插曲，但是还是很好的，第一次用mac，感觉太爽了，跟windows不是一个级别的，哈哈
3,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-11-15 14:06:41,对比了很久，也去实体店体验了，本着买新不买旧的原则，就买了这一款。13的屏幕的确刚刚好，256G也刚刚好，有着touch bar也是刚刚好
4,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-11-04 10:58:38,很不错吧，但是还是建议大家买256g的，不然你一定会后悔的！！！正面的都有啦，给大家看看侧面。急换电脑的同学不建议你们购买，因为适应期真的很长。大家可以装一个虚拟机，这样双系统起来比较稳定，当然我舍友的电脑还是崩了一次。。。保佑大家有好运吧，我现在是老电脑微软和这架一起使用，哎，真的别虚荣，真的别当颜狗。选择适合自己的低价的可能一时不爽，但是追求一些不适合自己的东西可能会长期不爽。别喷，真心话。。。。
5,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-02-12 02:00:32,2012年在京东买了第一台联想笔记本电脑，Y480  6K多，用了6年了，还是杠杠的，现在放在自己办公室当做台式机用！现在一直使用苹果产品！真心觉得不错！从最初到现在以及未来以后！苹果系统真是杠杠的！最初iPhone也是4S～iPhoneX现在，一直在京东购买！京东真心不错！使用京东6年的时间+过程，一直在体验，从最小做到现在规模怎么大！希望越来越好！
6,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-05-02 14:34:58,首先要赞一个快递服务，我本来选的是最晚的京准达，结果回到家还是很晚了，后来快递小哥在晚上九点多的时候又跑了一次，态度很好。其次，很久以前就想买苹果的笔记本了，但是一直以来都觉得比较#，而且非常贵，现在因为工作上的原因，我会用到笔记本，所以一咬牙买了，拿到手就是惊艳，太艺术品了，系统很流畅，安装了office后，基本上除了不能玩游戏剩下的都可以，玩游戏的话我自己组装的大台式吃鸡完全不在话下，不用安装双系统，触控板很棒，基本告别鼠标了，值不值不说，光就产品来说很满意
7,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-04-30 20:43:06,"在京东买成钻石了已经，这次真都想给个零星。
第一次的本出现了花屏（看视频/开盖），当时由于手头工作较忙在单位用win机器做开发，使用该mac的频率很低，确认花屏的时候已经到了购买后第15天，致电京东告知我要么返回京东做7-15天检测，要么去本地苹果售后做检测，由于就要出差外地正是用本的时候，就在本地售后做的检测，坐标石家庄东方大厦，这是一家Apple Premium（比较优质）的售后，拿去检测一天答曰一切正常，没办法只好返回京东检测，好在一周左右后给我换了。
担心的还是发生了，如果说第一次是小概率事件，是我中奖，那么第二次真的无法接受，底面拆机接缝处的小痕迹，左侧印象细微的磕痕我都可以说服自己这是无所谓的事，但是使用一个半小时死机什么鬼？（只打开chrome的情况下），第二天F11（音量减小键）连击，看视频中自动静音，自动最大音什么鬼？
基于此我申请了退货，但京东的几个客服反复以强硬的态度告诉我依然两个选择，要么去售后检测，要么返回京东7-15天的检测。
至此距我第一次购买已经一个月了，耽误时间的什么就不说了，真是被这事恶心到了。
是的，京东是大厂，就给你发次品你能咋地，都是间歇性都奇"
8,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-11-07 14:21:47,这是一次不得已的升级，所获得的体验也是MacBook Pro中最底层的。但是2017款MacBook Pro还是给我带来了巨大的惊喜，一方面延续了固有的优秀试用体验，另一方面在屏幕、触控板上的提升是能够让你愿意彻底抛弃原有的设备的。也有一些方面的改变，比如键盘、接口，需要适应。
9,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-03-17 19:46:55,设计必备，看了很久才下决心在京东买，目前检测没有毛病，没有七天无理由退货是有原因的，是保证你不会拿到拆过的机器，如果买到有问题的机器也没办法。但是苹果的良品率很高，一般不会有问题。比~便宜一千五左右，整体体验比较满意，用一段时间再来追评。拆包装还是挺激动的。
10,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-01-21 20:08:29,电脑非常喜欢，我觉得深灰色的颜色非常适合小女生啊，哈哈！很酷很酷！关键是小哥哥开车穿西装，打领带，白手套送货上门的哦！不错不错！非常不错啦！
11,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-04-26 00:29:20,帮别人下的单，经典版MacBook pro，没得话说，性价比之王。性能外观各方面完全满意，至今没听到朋友说有什么问题。反正对于apple，基本没有什么疑虑，它贵有它贵的道理。没照片，就放几个自己最近买的magicbook照片好了
12,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-15 20:43:28,本子买在618以后，特意用了一段时间才来评价，说一下个人感受吧。设计行业从业者，一直想买个轻薄本，汇报方案、简单调调图、可以看平面图就够了，要求很简单。为什么最后选了它，也很简单～逼格和系统，简单省心。买之前也纠结过要不要等等新款，后来想想自己的用途，性能高低对我没什么意义也就释然了。裸机一枚，没贴膜没包壳，就一个送的内胆，公文包一放完事。最后说一下，京东快递很好，快递小哥很赞！
13,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-11-04 21:20:52,第一次买这么贵的电脑 但是还是物超所值的 感觉还是macos系统好用 那些玩游戏的 劝你还是买Windows系统吧
14,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-20 09:32:48,以前没注意京准达服务，买这个下单时候，还必须要我选送货时间，遂生厌。早上8.30分刚把衣服穿上，电话就来了，可能我离大库进吧，小哥一口服务腔远比之前三轮小哥更专业，到了一看，小哥开一辆黑色喷有京东logo的帝豪，着实让人惊讶不已，心下暗道：京东这么牛了现在？！毕竟平时都开蹦蹦。上前表明身份，小哥打开后备箱，一摞儿黑红相间的盒子显现出来，最上面的盒子同样印有京东logo。只见小哥顺手拿了最上面盒子问道：是否打开验货？答：不必了。小哥仍四下展示示意包装完好，并道：如有破损仍可联系云云。收起盒子向家中走去，途经一早食店，稍作停留并吃了两个包子，一个茶叶蛋，还有一碗稀饭。酒足饭饱，扫了店家二维码结账，不敢耽搁，便继续向家中疾行，不消片刻既至家中。急急打开盒子，只见黑盒子封口处有京东奢侈品封签，撕掉并拿去黑色盒子，里面仍套有稍小一圈的普通纸盒，继续打开，电脑的自带包装这才漏出庐山真面目，不消多说，打开包装，翻盖，未及按下电源按钮，屏幕竟然直接亮了？好在官网查询后没什么问题。使用后感觉发热明显，续航不足 ，除了配置高点，屏幕好点，还不如15款的air，继续观察吧
15,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-05-25 15:07:05,这是我网上买过最贵的单品了，非常爱不释手，怕划了，还买了一堆保护措施，配上保护膜鼠标外壳什么的又花了一千来块，再配个超级棒的鼠标，个人觉得这个鼠标比苹果鼠标好用，希望我的完美维护，几年后包膜撕下来还跟新的一样！这个电脑非常好用，发货超级快，我半夜下看到19500的单，竟然早上起来就送到了！京东真是大神啊！
16,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 19:08:54,为什么我打开safari里面有这么多个人收藏的网页，是新机系统自带的吗？还是别人用过的。
17,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-03-27 16:10:34,挺好的，就是装windows 系统有点热，苹果系统没毛病，之前买了一台27寸的一体机一直也用着
18,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-07-23 12:59:15,首先赞一下京东自营快递的速度真的很快，而且快递小哥态度非常好。苹果的macbook pro做工其他品牌是比不了的，包装很简洁但保护很到位，屏幕显示效果非常清晰色彩很舒服处理图片很是享受，键盘键程虽然很短但是有清脆的手感我个人很喜欢这手感，笔记本的转轴阻尼刚刚好单手可以轻松打开上盖，本子的散热效果很好。最后要说的是macbook pro13寸的重量很轻非常合适经常需要移动办公的人。
19,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-08-11 22:13:24,原来买惠普新出的envy13.3寸高配，到手后发现屏幕太小，就决定加价换mac pro。*入手，屏幕很细腻，装了双系统，win10下有时会死机、比较烫、有些办公软件不兼容会变成超小字体，外观很漂亮，总之挺喜欢的，给五星吧。
20,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-02-17 22:30:42,看视频，发热，其他还好！苹果外观确实很棒！发热有点讨厌，很热！没试充满可以看几小时的视频，后面追评！
21,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-02-14 12:52:03,这次算是在京东消费较大的一次了，第一次用苹果系统，正在熟悉中，人机交换不错，u还弱了些，没有独显，没有16g内存，装adobe2018启动还是要装载一会儿，最满意的是触控板，只要熟悉各种手势，完全没必要买鼠标，bar用着也不错，方便，希望以后能让更多的软件支持！买来学做设计的，性能离期望值有点远，要性能的话还是要买工作站，颜值超高，装b利器。
22,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-11-18 21:04:49,下单前，曾考虑过很多款笔记本，Suface、小米笔记本、ThinkPad&hellip;&hellip;最后还是选择Macbook！实物拿到手后，太惊艳了，视网膜屏幕真的很舒服、触控板代替了鼠标使用、蝴蝶键盘敲击很舒服、还有就是touch bar、以及iCloud功能&hellip;&hellip;太多的优点，唯一缺点就是OSX系统目前确实部分APP没有Windows好用，希望以后可以通过update改进。
23,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2017-10-30 23:41:23,虽然性价比确实相对较低，但是用了几天后，最大的感受就是比起原来笨重的性能本，这个确实是轻多了，背出去很轻松，同时工作效率得到了提升，确实在mac设计方面做了很多易于用户操作的优化，我是做开发的...
24,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-04-09 22:01:34,包装很简洁，不过足够了~机子完美啊！老婆完全是冲着颜值买了这款，性能大大超过需求~用起来心情好就超值~老婆高兴就好~
